A2	2B	01	02	04	08	11	00	0C	00	6A	00	23	00	11	02
AB	2F	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
AC	2F	01	02	04	08	11	00	21	00	3C	00	7C	00	00	02
3B	2C	01	02	04	08	8B	00	49	00	45	00	8C	00	56	08
3C	2C	01	02	04	08	8B	00	4B	00	48	00	8F	00	56	08
EB	2D	01	02	04	08	11	00	6A	00	98	00	3C	00	11	02
EC	2D	01	02	04	08	68	00	69	00	6A	00	A8	00	11	02
ED	2D	01	02	04	08	6B	00	6C	00	6E	00	3C	00	11	02
98	2E	01	02	04	08	8B	00	35	00	42	00	15	00	11	02
76	2F	01	02	04	08	21	00	34	00	70	00	7C	00	56	02
77	2F	01	02	04	08	34	00	70	00	33	00	24	00	56	02
42	2A	01	02	04	08	A4	00	9F	00	A0	00	A1	00	00	02
39	2A	01	02	04	08	A4	00	9F	00	A7	00	24	00	33	02
8B	2E	01	02	04	08	7C	00	24	00	6A	00	3C	00	11	02
8C	2E	01	02	04	08	7C	00	24	00	6A	00	3C	00	11	02
8D	2E	01	02	04	08	7C	00	24	00	6A	00	3C	00	11	02
A9	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
A1	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
A4	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
A0	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
B1	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
BE	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
A6	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
AA	CD	01	02	04	08	0D	00	3C	00	11	00	32	00	11	02
9D	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	56	02
9E	CD	01	02	04	08	0D	00	3C	00	11	00	32	00	11	02
B4	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
B0	CD	01	02	04	08	0D	00	3C	00	11	00	32	00	11	02
A7	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	11	02
A8	CD	01	02	04	08	11	00	21	00	3C	00	7C	00	56	02
